time	est_speed	baro_speed	gps_speed	vel_z_pid_output	vel_z_pid_err	vel_z_I	gps_status	healthy	state	mav_mode
37844	-0.3097	0.1720	0.2700	0.0000	0.0000	0.0000	2	0	0	64
37889	-0.1709	0.0803	0.2700	0.0000	0.0000	0.0000	2	0	0	64
37939	-0.0664	-0.2242	0.2700	0.0000	0.0000	0.0000	2	0	0	64
37989	0.0173	-0.3835	0.3300	0.0000	0.0000	0.0000	2	0	0	64
38039	0.0926	-0.4582	0.3300	0.0000	0.0000	0.0000	2	0	0	64
38089	0.1509	-0.6854	0.3300	0.0000	0.0000	0.0000	2	0	0	64
38139	0.2017	-0.5249	0.3300	0.0000	0.0000	0.0000	2	0	0	64
38189	0.2481	-0.0598	0.3400	0.0000	0.0000	0.0000	2	0	0	64
38239	0.2984	0.1846	0.3400	0.0000	0.0000	0.0000	2	0	0	64
38289	0.3433	0.0159	0.3400	0.0000	0.0000	0.0000	2	0	0	64
38339	0.3773	-0.0738	0.3400	0.0000	0.0000	0.0000	2	0	0	64
38389	0.4055	0.0062	0.3400	0.0000	0.0000	0.0000	2	0	0	64
38439	0.4306	0.0478	0.3400	0.0000	0.0000	0.0000	2	0	0	64
38489	0.4509	-0.0553	0.3500	0.0000	0.0000	0.0000	2	0	0	64
38539	0.4674	-0.1087	0.3500	0.0000	0.0000	0.0000	2	0	0	64
38589	0.4858	0.1589	0.3500	0.0000	0.0000	0.0000	2	0	0	64
38639	0.5052	0.2953	0.3500	0.0000	0.0000	0.0000	2	0	0	64
38689	0.5177	0.1501	0.2799	0.0000	0.0000	0.0000	2	0	0	64
38739	0.5144	-0.0538	0.2799	0.0000	0.0000	0.0000	2	1	0	64
38789	0.5102	-0.8237	0.2799	0.0000	0.0000	0.0000	2	1	0	64
38839	0.4934	-0.2076	0.2799	0.0000	0.0000	0.0000	2	0	0	64
38889	0.4919	-0.0069	0.2799	0.0000	0.0000	0.0000	2	0	0	64
38939	0.4946	0.0953	0.2799	0.0000	0.0000	0.0000	2	0	0	64
38989	0.4956	-0.4351	0.4300	0.0000	0.0000	0.0000	2	0	0	64
39039	0.5045	-0.7074	0.4300	0.0000	0.0000	0.0000	2	0	0	64
39089	0.5072	-0.8337	0.4300	0.0000	0.0000	0.0000	2	0	0	64
39139	0.5079	-0.8692	0.4300	0.0000	0.0000	0.0000	2	1	0	64
39189	0.5114	-0.5829	0.3400	0.0000	0.0000	0.0000	2	1	0	64
39239	0.5082	-0.4217	0.3400	0.0000	0.0000	0.0000	2	0	0	64
39289	0.5082	-0.3281	0.3400	0.0000	0.0000	0.0000	2	0	0	64
39339	0.5114	-0.1874	0.3400	0.0000	0.0000	0.0000	2	0	0	64
39389	0.5213	0.2475	0.3400	0.0000	0.0000	0.0000	2	0	0	64
39439	0.5318	0.0673	0.3400	0.0000	0.0000	0.0000	2	0	0	64
39489	0.5369	-0.0284	0.3600	0.0000	0.0000	0.0000	2	0	0	64
39539	0.5402	-0.2810	0.3600	0.0000	0.0000	0.0000	2	0	0	64
39589	0.5377	-0.4104	0.3600	0.0000	0.0000	0.0000	2	0	0	64
39639	0.5332	-0.4718	0.3600	0.0000	0.0000	0.0000	2	0	0	64
39689	0.5267	-0.5352	0.2799	0.0000	0.0000	0.0000	2	0	0	64
39739	0.5106	-0.5495	0.2799	0.0000	0.0000	0.0000	2	0	0	64
39789	0.4971	-0.5469	0.2799	0.0000	0.0000	0.0000	2	0	0	64
39839	0.4977	0.0939	0.2799	0.0000	0.0000	0.0000	2	0	0	64
39889	0.5080	0.4258	0.2799	0.0000	0.0000	0.0000	2	0	0	64
39939	0.5171	0.4172	0.2799	0.0000	0.0000	0.0000	2	0	0	64
39989	0.5254	0.2015	0.5299	0.0000	0.0000	0.0000	2	0	0	64
